City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Xining,CN,2021-04-25 00:04:42,36.6167,101.7667,38.95,97,100,0.34
102,Bethel,US,2021-04-25 00:01:15,41.3712,-73.414,62.6,27,1,11.5
103,Mafinga,TZ,2021-04-25 00:04:43,-7.25,35.0667,64.85,89,42,3.36
104,East London,ZA,2021-04-25 00:02:44,-33.0153,27.9116,64.72,78,67,5.01
105,Avera,US,2021-04-25 00:04:43,33.194,-82.5271,64.4,98,90,10.36
106,La Ronge,CA,2021-04-25 00:03:08,55.1001,-105.2842,32.0,43,100,9.22
107,Maldonado,UY,2021-04-25 00:04:44,-34.6667,-54.9167,66.2,77,75,16.11
108,Vung Tau,VN,2021-04-25 00:04:44,10.346,107.0843,82.56,74,58,6.51
109,Georgetown,MY,2021-04-25 00:00:15,5.4112,100.3354,81.0,89,20,5.75
110,Aykhal,RU,2021-04-25 00:04:44,66.0,111.5,27.52,90,99,5.73
111,Avarua,CK,2021-04-25 00:01:45,-21.2078,-159.775,82.4,74,75,12.66
112,Chipinge,ZW,2021-04-25 00:04:45,-20.1883,32.6236,59.56,62,0,4.41
113,Sivaki,RU,2021-04-25 00:04:45,52.6333,126.75,41.41,42,2,10.22
114,La Brea,HN,2021-04-25 00:04:46,15.8,-85.9667,87.8,58,40,4.61
115,Kanniyakumari,IN,2021-04-25 00:04:46,8.0833,77.5667,82.31,75,43,4.68
116,Faanui,PF,2021-04-25 00:02:16,-16.4833,-151.75,79.86,71,100,9.42
117,Necochea,AR,2021-04-25 00:01:02,-38.5473,-58.7368,59.0,75,40,5.99
118,Lagoa,PT,2021-04-25 00:01:00,39.05,-27.9833,58.96,82,52,24.65
119,Mustasaari,FI,2021-04-25 00:04:47,63.1142,21.6822,32.0,93,90,19.57
120,Virginia Beach,US,2021-04-25 00:00:27,36.8529,-75.978,57.0,96,100,11.54
121,Tarija,BO,2021-04-25 00:04:48,-21.5355,-64.7296,54.91,90,95,2.44
122,Kodiak,US,2021-04-25 00:01:13,57.79,-152.4072,42.8,87,90,10.36
123,Yeppoon,AU,2021-04-25 00:04:48,-23.1333,150.7333,75.2,53,82,13.8
124,Brewster,US,2021-04-25 00:01:17,41.3973,-73.6171,62.6,27,1,11.5
125,Olafsvik,IS,2021-04-25 00:03:56,64.8945,-23.7142,42.93,91,99,20.49
126,Labuhan,ID,2021-04-25 00:04:50,-6.8844,112.2051,78.1,81,4,6.33
127,Voskresenskoye,RU,2021-04-25 00:04:51,56.8381,45.4317,37.87,96,100,10.31
128,Richards Bay,ZA,2021-04-25 00:04:04,-28.783,32.0377,68.31,86,74,11.48
129,Le Mans,FR,2021-04-25 00:04:51,48.0,0.2,53.6,54,0,12.66
130,Batagay-Alyta,RU,2021-04-25 00:04:51,67.8006,130.4114,23.85,72,100,4.63
