City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Dingle,PH,75.99,light rain,10.9995,122.6711,Pototan
320,Grand-Bourg,GP,82.4,broken clouds,15.8835,-61.3148,Grand-Bourg
322,Moss Point,US,75.2,light rain,30.4116,-88.5345,Pascagoula
324,Avera,US,80.6,clear sky,33.194,-82.5271,Avera
325,Huangmei,CN,70.23,light rain,30.1924,116.025,Huanggang
327,Half Moon Bay,US,70.0,haze,37.4636,-122.4286,Half Moon Bay
328,Lamu,KE,81.3,scattered clouds,-2.2717,40.902,Lamu
329,Bend,US,71.6,clear sky,44.0582,-121.3153,Bend
331,Jawa,JO,77.0,clear sky,31.8525,35.9393,Amman
332,Batesville,US,75.99,clear sky,35.7698,-91.641,Batesville
334,Viedma,AR,79.07,overcast clouds,-40.8135,-62.9967,Viedma
336,Gazanjyk,TM,73.74,scattered clouds,39.2446,55.5154,Bereket
339,Soe,ID,66.45,broken clouds,-9.8607,124.28399999999999,Soe
343,Campina Verde,BR,82.94,overcast clouds,-19.5356,-49.4864,Campina Verde
346,Yining,CN,65.55,clear sky,29.0361,114.5636,Jiujiang
347,Sarangani,PH,82.65,overcast clouds,5.4033,125.4636,Municipality of Sarangani
351,Eyl,SO,84.13,broken clouds,7.9803,49.8164,Eyl
352,Zaltan,LY,76.39,broken clouds,32.946999999999996,11.8665,Zelten
356,Padang,ID,78.58,overcast clouds,-0.9492,100.3543,Padang
358,Boa Vista,BR,84.2,light rain,2.8197,-60.6733,Boa Vista
359,Dicabisagan,PH,75.13,clear sky,17.0818,122.4157,Ilagan
362,Saint-Georges,GD,82.4,broken clouds,12.0564,-61.7485,Saint George's
365,Salinopolis,BR,75.99,overcast clouds,-0.6136,-47.3561,Salinópolis
366,Banjar,ID,78.8,few clouds,-8.19,114.9675,Banjar
370,Kavieng,PG,82.04,overcast clouds,-2.5744,150.7967,Kaewieng
375,Sassandra,CI,80.98,broken clouds,4.95,-6.0833,Sassandra
376,Long,TH,81.0,scattered clouds,18.0761,99.8326,Huai O
378,San Patricio,US,78.8,overcast clouds,28.017,-97.5169,Sinton
379,Angoche,MZ,78.76,clear sky,-16.2325,39.9086,Angoche Island
382,Port Keats,AU,73.54,clear sky,-14.25,129.55,Thamarrurr
383,Fortuna,US,66.0,clear sky,40.5982,-124.1573,Fortuna
384,Mogadishu,SO,82.63,overcast clouds,2.0371,45.3438,Mogadishu
385,Ranong,TH,78.82,overcast clouds,9.9658,98.6348,Bang Rin
387,Victor Harbor,AU,71.01,overcast clouds,-35.5667,138.6167,Victor Harbor - Goolwa
389,Lompoc,US,70.0,mist,34.6391,-120.4579,Lompoc
396,Kaniama,CD,69.26,overcast clouds,-7.5667,24.1833,Kaniama
397,Berberati,CF,71.02,overcast clouds,4.2612,15.7922,Berbérati
402,Road Town,VG,84.2,scattered clouds,18.4167,-64.6167,Road Town
405,Maldonado,UY,71.6,clear sky,-34.6667,-54.9167,Chacra Gaia
407,Garowe,SO,74.59,heavy intensity rain,8.4054,48.4845,Garowe
408,Sterling,US,71.01,scattered clouds,39.0062,-77.4286,Sterling
409,Waingapu,ID,77.23,clear sky,-9.6567,120.2641,Waingapu
412,Korla,CN,72.63,clear sky,41.7597,86.1469,Bayingolin Mongol Autonomous Prefecture
415,Port Moresby,PG,73.96,broken clouds,-9.4431,147.1797,Port Moresby
416,Enid,US,77.0,clear sky,36.3956,-97.8784,Enid
418,Mananjary,MG,73.4,scattered clouds,-21.2167,48.3333,Mananjary
419,Buraydah,SA,82.4,clear sky,26.326,43.975,Buraydah
423,Vao,NC,74.89,overcast clouds,-22.6667,167.4833,Vao
425,Lujan,AR,73.99,clear sky,-34.5703,-59.105,Luján
429,Laguna,US,82.0,broken clouds,38.421,-121.4238,Sacramento
430,Gustavo Diaz Ordaz,MX,79.0,overcast clouds,26.2333,-98.5833,Gustavo Díaz Ordaz
432,Kupang,ID,76.37,overcast clouds,-10.1667,123.5833,Kupang
436,Pundaguitan,PH,81.54,broken clouds,6.3711,126.1689,Mati
440,Cochrane,CA,68.0,few clouds,51.1834,-114.4687,Cochrane
441,Bulungu,CD,73.13,light rain,-4.55,18.6,Bulungu
442,Comodoro Rivadavia,AR,68.0,clear sky,-45.8667,-67.5,Comodoro Rivadavia
445,Mani,CO,71.76,moderate rain,4.8172,-72.2886,Maní
446,Zharkent,KZ,70.72,scattered clouds,44.1628,80.0,Zharkent
452,Bumba,CD,69.8,moderate rain,2.1833,22.4667,Bumba
453,Virginia Beach,US,78.8,scattered clouds,36.8529,-75.97800000000001,Virginia Beach
454,Finschhafen,PG,78.42,scattered clouds,-6.6024,147.8681,Finschhafen
455,Baglung,NP,69.49,overcast clouds,28.2719,83.5898,Baglung
456,Natal,BR,80.6,broken clouds,-5.795,-35.2094,Natal
458,Winnemucca,US,82.4,clear sky,40.973,-117.7357,Winnemucca
